TEXT
240	-61
-92	658
488	-16
256	-256
151	402
-234	160
-537	267
336	378
284	57
-247	332
-231	-89
-143	-618
-499	-67
-521	-83
307	-303
-11	220
-376	471
375	433
50	399
-640	0
50	-399
375	-433
-376	-471
-11	-220
307	303
-521	83
-499	67
-143	618
-231	89
-247	-332
284	-57
336	-378
-537	-267
-234	-160
151	-402
256	256
488	16
-92	-658
240	61
100	239
-560	194
4	471
218	-16
399	106
-156	434
-471	226
245	359
86	-114
396	-339
162	455
-20	492
640	0
-20	-492
162	-455
396	339
86	114
245	-359
-471	-226
-156	-434
399	-106
218	16
4	-471
-560	-194
100	-239
240	-61
-92	658
488	-16
256	-256
151	402
-234	160
-537	267
336	378
284	57
-247	332
-231	-89
-143	-618
-499	-67
-521	-83
307	-303
-11	220
-376	471
375	433
50	399
-640	0
50	-399
375	-433
-376	-471
-11	-220
307	303
-521	83
-499	67
-143	618
-231	89
-247	-332
284	-57
336	-378
-537	-267
-234	-160
151	-402
256	256
488	16
-92	-658
240	61
100	239
-560	194
4	471
218	-16
399	106
-156	434
-471	226
245	359
86	-114
396	-339
162	455
-20	492
